,Restaurant ID,Restaurant Name,Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Votes,Cuisine_American,Cuisine_Andhra,Cuisine_Arabian,Cuisine_Armenian,Cuisine_Asian,Cuisine_BBQ,Cuisine_Bakery,Cuisine_Bar Food,Cuisine_Bengali,Cuisine_Beverages,Cuisine_Bihari,Cuisine_Biryani,Cuisine_Burger,Cuisine_Burmese,Cuisine_Cafe,Cuisine_Chettinad,Cuisine_Chinese,Cuisine_Coffee,Cuisine_Continental,Cuisine_Desserts,Cuisine_Egyptian,Cuisine_European,Cuisine_Fast Food,Cuisine_Finger Food,Cuisine_German,Cuisine_Goan,Cuisine_Gujarati,Cuisine_Healthy Food,Cuisine_Hyderabadi,Cuisine_Ice Cream,Cuisine_Indian,Cuisine_Italian,Cuisine_Japanese,Cuisine_Juices,Cuisine_Kebab,Cuisine_Kerala,Cuisine_Lebanese,Cuisine_Maharashtrian,Cuisine_Malaysian,Cuisine_Mangalorean,Cuisine_Mediterranean,Cuisine_Mexican,Cuisine_Middle Eastern,Cuisine_Mithai,Cuisine_Modern Indian,Cuisine_Mughlai,Cuisine_North Indian,Cuisine_Parsi,Cuisine_Pizza,Cuisine_Rajasthani,Cuisine_Raw Meats,Cuisine_Rolls,Cuisine_Salad,Cuisine_Sandwich,Cuisine_Seafood,Cuisine_Sindhi,Cuisine_South Indian,Cuisine_Street Food,Cuisine_Tea,Cuisine_Thai,Cuisine_Tibetan,Cuisine_Turkish,Cuisine_Vietnamese,City_Ambala,City_Aurangabad,City_Bangalore,City_Belgaum,City_Chennai,City_Darjeeling,City_Faridabad,City_Goa,City_Gurgaon,City_Hyderabad,City_Indore,City_Jammu,City_Kolkata,City_Kurnool,City_Mangalore,City_Mumbai,City_Mysore,City_Nagpur,City_Nainital,City_Nanded,City_Nashik,City_Navi Mumbai,City_New Delhi,City_Noida,City_Pune,City_Secunderabad,City_Surat,City_Vellore,City_Vijayawada,City_Vizag,Rating text,Aggregate rating
10,13619,Multi Spice,73.99902865,18.49275386,600.0,0.0,0.0,0,2.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3.7
11,18660383,Grand 11,74.00414329,18.49113319,700.0,0.0,0.0,0,2.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3.6
12,11277,Sanskruti,74.00929548,18.49103876,700.0,0.0,0.0,0,2.0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2.6
13,13621,Jay Shree Executive,73.99273384,18.49279679,750.0,0.0,0.0,0,2.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3.4
14,13665,Milestone 09,74.00014848,18.49474876,650.0,0.0,0.0,0,2.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3.4
15,6507594,Blue Berri,73.98302224,18.49343844,600.0,0.0,0.0,0,2.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3.1
16,18786327,Shree Masala,0,0.0,500.0,0.0,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
17,13623,Hira Garden,73.99366088,18.49346165,500.0,0.0,0.0,0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3.1
18,18597704,Masakha - Seafood Resto & Bar,73.82477123,18.45966527,1000.0,0.0,1.0,0,3.0,425.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4.3
19,12934,Domino's Pizza,73.82329,18.47755,700.0,0.0,0.0,0,2.0,639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3.6
